,Unnamed: 0,식당명,별점,구,주소,전화번호,음식종류,가격대,주차,영업시간,메뉴,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
174,174,트라토리아브로도,3.9,송파구,서울특별시 송파구 위례성대로16길 27,02-421-5588,음식 종류 이탈리안,가격대 2만원-3만원,주차 무료주차 가능,"['월: 18:00 - 22:30', '화-토: 12:00 - 22:30']",0,2022-05-13,맛있다,15,11.0,4.0,0.0
175,175,초이스시,3.9,송파구,서울특별시 송파구 올림픽로 145,02-2202-5518,음식 종류 회 / 스시,가격대 2만원-3만원,주차 무료주차 가능,['11:30 - 21:00'],"['오마카세', '45,000원', '스페샬 스시', '27,000원', '스시 A', '22,000원', '스시 B', '17,000원']",2022-06-28,맛있다,41,31.0,4.0,6.0
176,176,동북양꼬치,3.9,송파구,서울특별시 송파구 석촌호수로12길 14 1F,02-424-8892,음식 종류 기타 중식,가격대 만원-2만원,주차 주차공간없음,['14:30 - 02:00'],0,2022-07-22,맛있다,29,22.0,4.0,3.0
177,177,도삭면공방,3.9,송파구,서울특별시 송파구 백제고분로7길 8-12,02-417-8868,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,주차 무료주차 가능,['11:00 - 23:00'],"['얼큰도삭면', '9,000원', '짜장도삭면', '8,000원', '어향가지덮밥', '8,000원', '소룡포', '8,000원', '어향동고', '22,000원']",2022-08-06,괜찮다,20,14.0,6.0,0.0
178,178,소미연,3.9,송파구,서울특별시 송파구 가락로 100,02-413-8887,음식 종류 정통 중식 / 일반 중식,메뉴,자장면,0,"['자장면', '6,000원', '삼선짬뽕', '8,500원', '고기짬뽕', '9,000원', '탕수육', '16,000원', '빨간굴짬뽐', '9,000원']",2022-07-11,맛있다,18,16.0,1.0,1.0
179,179,오로라경양식,3.9,송파구,서울특별시 송파구 백제고분로39길 33,02-424-2332,음식 종류 기타 한식,가격대 만원 미만,주차 주차공간없음,['11:00 - 21:30'],0,2021-11-16,맛있다,11,7.0,3.0,1.0
180,180,카린지,3.9,송파구,서울특별시 송파구 백제고분로45길 32 101호,070-4228-8486,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,주차 주차공간없음,['11:40 - 21:00'],"['고스미돈가스', '12,000원', '시금치카츠카레', '11,000원', '버터치킨카레', '11,000원', '아보카도키마카레', '13,000원', '멘치버거 (사이드)', '5,000원']",2022-07-30,별로,12,7.0,3.0,2.0
181,181,연어식당,3.9,송파구,서울특별시 송파구 올림픽로35가길 9 잠실 푸르지오월드마크 상가 1F 132호,02-415-9915,음식 종류 회 / 스시,가격대 2만원-3만원,주차 무료주차 가능 1시간 무료,"['월-금: 11:30 - 24:00', '토: 17:00 - 23:00']",0,2022-05-16,맛있다,34,28.0,4.0,2.0
182,182,브루클린더버거조인트,3.9,송파구,서울특별시 송파구 올림픽로 300 롯데월드몰 3F,02-3213-4340,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,"주차 유료주차 가능 1시간 3,000원",['11:00 - 22:00'],"['더 치즈버거 (140g)', '7,800원', '치즈스커트 (140g)', '10,300원', '냅킨플리즈 (140g)', '10,800원', '판타스틱4', '13,000원', '프랜치프라이', '7,500원']",2022-07-09,별로,27,18.0,5.0,4.0
183,183,츠쿠모,3.9,송파구,서울특별시 송파구 올림픽로32길 58 1F,02-422-4668,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 20:30'],"['타치쥬 상', '13,500원', '타치쥬 중', '10,000원', '사케동', '12,500원', '아부리사케동', '12,500원', '깐새우장덮밥', '11,000원']",2022-07-15,괜찮다,19,12.0,5.0,2.0
184,184,가락골마산아구찜,3.9,송파구,서울특별시 송파구 송이로19길 3,02-409-6665,음식 종류 해산물 요리,가격대 2만원-3만원,주차 주차공간없음,['11:00 - 22:00'],"['아구찜 (중)', '50,000원', '아구탕 (중)', '50,000원', '해물탕 (중)', '55,000원', '낙지찜 (중)', '55,000원']",2022-05-02,맛있다,40,31.0,6.0,3.0
185,185,유천칡냉면,3.9,송파구,서울특별시 송파구 강동대로3길 22,02-419-6000,음식 종류 국수 / 면 요리,가격대 만원 미만,주차 무료주차 가능,"['월-금: 10:30 - 21:00', '토-일: 10:30 - 22:00']",0,2022-05-12,맛있다,30,16.0,9.0,5.0
186,186,쥬뗑뷔뜨,3.9,송파구,서울특별시 송파구 백제고분로40길 14 1F,02-6403-0098,음식 종류 베이커리,가격대 만원 미만,주차 주차공간없음,['11:00 - 20:00'],"['바게트', '4,000원', '샌드위치', '6,800원', '단호박깜빠뉴', '5,800원', '아몬드크루와상', '4,300원', '치즈올리브', '3,800원']",2022-06-27,맛있다,12,11.0,1.0,0.0
187,187,본투비블루,3.9,송파구,서울특별시 송파구 송파대로32길 15 금호아파트상가 1F 120호,010-3083-3332,음식 종류 카페 / 디저트,가격대 만원 미만,주차 무료주차 가능,"['화-금: 08:00 - 18:00', '토-일: 10:00 - 17:00']","['디지털러브', '5,500원', '클로저', '5,500원', '레지스턴스', '5,500원', '러브네스트', '5,500원', '본투비블루', '5,500원']",2022-06-25,괜찮다,9,7.0,2.0,0.0
188,188,촙촙,3.9,송파구,서울특별시 송파구 올림픽로 300 롯데월드타워앤롯데월드몰 B1,02-3213-2847,음식 종류 베트남 음식,가격대 만원-2만원,주차 무료주차 가능,['10:30 - 22:00'],"['마라 쌀국수', '13,000원', '촙촙면', '12,000원', '소고기 쌀국수', '11,000원', '분보싸오', '12,000원', '반미', '8,000원']",2022-08-08,괜찮다,15,7.0,8.0,0.0
189,189,카페페퍼,3.9,송파구,서울특별시 송파구 백제고분로45길 12 2F,0,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,영업시간 12:00 - 21:00,0,7 시간 전,괜찮다,11,6.0,5.0,0.0
190,190,연백냉면,3.9,송파구,서울특별시 송파구 새말로12길 7,02-409-5054,음식 종류 국수 / 면 요리,가격대 만원 미만,주차 주차공간없음,['10:00 - 21:00'],0,2022-03-12,맛있다,15,10.0,4.0,1.0
191,191,장수식당,3.9,송파구,서울특별시 송파구 삼전로 95,02-415-4148,음식 종류 고기 요리,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 22:00'],0,2022-07-09,맛있다,25,21.0,1.0,3.0
192,192,카페노티드,3.9,송파구,서울특별시 송파구 백제고분로45길 3 2F,070-8836-9377,음식 종류 카페 / 디저트,가격대 만원 미만,주차 발렛,['10:00 - 21:00'],0,2022-06-18,맛있다,18,13.0,5.0,0.0
193,193,카페사브레,3.9,송파구,서울특별시 송파구 송파대로46길 28,070-7628-2828,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,['12:00 - 22:00'],0,2021-08-29,맛있다,11,6.0,4.0,1.0
194,194,디라이프스타일키친,3.9,송파구,서울특별시 송파구 올림픽로 300 롯데월드몰 5F,02-3213-4533,음식 종류 퓨전 양식,가격대 2만원-3만원,웹 사이트 식당 홈페이지로 가기,"['토마토파스튜', '28,000원', '로얄명란 김퓨레비빔밥', '24,900원', '트러플 리코타치즈 샐러드', '24,900원', '치즈크림 인 양송이구이', '23,900원', '등심스테이크', '48,500원']","['토마토파스튜', '28,000원', '로얄명란 김퓨레비빔밥', '24,900원', '트러플 리코타치즈 샐러드', '24,900원', '치즈크림 인 양송이구이', '23,900원', '등심스테이크', '48,500원']",2022-07-20,별로,8,6.0,1.0,1.0
195,195,슈타인도르프,3.9,송파구,서울특별시 송파구 오금로15길 11 1F,02-422-9000,음식 종류 치킨 / 호프 / 펍,가격대 만원 미만,주차 주차공간없음,"['월-수: 15:00 - 24:00', '목-토: 15:00 - 01:00']",0,2022-06-30,맛있다,14,10.0,4.0,0.0
196,196,이성당카페,3.9,송파구,서울특별시 송파구 올림픽로 300 6F,02-3213-4646,음식 종류 카페 / 디저트,가격대 만원 미만,주차 유료주차 가능,['10:30 - 23:30'],"['단팥빵', '1,700원', '야채빵', '2,000원', '소보로', '1,400원', '크림소보로', '2,500원', '모닝사라다', '2,500원']",2022-02-15,맛있다,18,11.0,6.0,1.0
197,197,서래냉면,3.9,송파구,서울특별시 송파구 올림픽로 300 롯데월드몰 5F,02-3213-4524,음식 종류 국수 / 면 요리,가격대 만원 미만,주차 유료주차 가능,['10:30 - 24:00'],0,5 일 전,별로,28,12.0,9.0,7.0
198,198,바81,3.9,송파구,서울특별시 송파구 올림픽로 300 롯데월드타워 81F,02-3213-1281,음식 종류 칵테일 / 와인,가격대 4만원 이상,주차 유료주차 가능,"['일-목: 18:00 - 01:00', '금-토: 18:00 - 02:00']",0,2022-04-29,맛있다,12,8.0,4.0,0.0
199,199,카페 앙떼띠,3.9,송파구,서울특별시 송파구 올림픽로 342,02-420-7410,음식 종류 카페 / 디저트,가격대 만원 미만,주차 무료주차 가능,"['월-금: 11:00 - 19:30', '토-일: 11:00 - 21:00']",0,2022-05-29,괜찮다,13,8.0,5.0,0.0
200,200,미라이,4.8,강남구,서울특별시 강남구 논현로153길 24 끌레르빌 1F,02-540-0934,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 3만원-4만원,주차 주차공간없음,['18:00 - 01:00'],"['사시미8종 (2인)', '41,000원', '마구로치즈아에', '19,000원', '양갈비 스미비 야끼', '23,000원', '노도구로 시오 야끼', '35,000원', '규 스테이크', '41,000원']",4 일 전,별로,122,104.0,14.0,4.0
201,201,시라카와,4.8,강남구,서울특별시 강남구 선릉로161길 7 1F,070-4115-4769,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,주차 발렛,['17:00 - 23:00'],"['덴푸라 10종오마카세', '33,000원', '네기도로 김튀김', '11,000원', '트러플소스 포테이토 샐러드', '12,000원', '우엉튀김 고기우동', '13,000원', '카스타드푸딩', '3,000원']",2022-05-28,맛있다,66,60.0,6.0,0.0
202,202,페리지,4.8,강남구,서울특별시 강남구 봉은사로68길 6-5 1F,0,음식 종류 기타 양식,가격대 3만원-4만원,주차 발렛,영업시간 17:00 - 22:00,"['페리지 에끌래어', '8,000원', '봉골레', '31,000원', '아뇰로띠', '31,000원', '안다리노 윗 랍스타', '36,000원', '텐더로인', '55,000원']",2022-08-03,맛있다,34,29.0,5.0,0.0
203,203,맛짱조개,4.8,강남구,서울특별시 강남구 언주로136길 10,02-516-4787,음식 종류 해산물 요리,가격대 만원-2만원,주차 주차공간없음,['17:00 - 04:00'],"['조개찜 (중)', '48,000원', '해물모듬', '35,000원', '가리비숙회', '25,000원', '포뜬산오징어', '25,000원', '해물라면', '6,000원']",2022-07-22,괜찮다,59,54.0,5.0,0.0
204,204,상진식감,4.8,강남구,서울특별시 강남구 도산대로11길 31-10 B1,02-6439-2735,음식 종류 까스 요리,가격대 만원-2만원,주차 주차공간없음,"['화-금: 11:30 - 21:00', '토-일: 13:00 - 21:00']",0,1 일 전,맛있다,19,18.0,1.0,0.0
205,205,스시카나에,4.7,강남구,서울특별시 강남구 도산대로75길 15 노노빌딩 2F,02-516-3350,음식 종류 회 / 스시,가격대 4만원 이상,주차 발렛,['12:00 - 22:00'],"['런치 오마카세', '65,000원', '디너 오마카세', '130,000원']",2022-08-03,맛있다,94,75.0,12.0,7.0
206,206,BISTROT de YOUNTVILLE,4.7,강남구,서울특별시 강남구 선릉로158길 13-7 이안빌딩 1F,02-541-1550,음식 종류 프랑스 음식,가격대 4만원 이상,주차 발렛,['11:30 - 22:30'],"['런치 3코스', '55,000원', '런치 클래식 4코스', '84,000원', '디너 트래디션 3코스', '84,000원', '디너 트래디션 4코스', '98,000원']",2022-07-26,맛있다,150,116.0,26.0,8.0
207,207,알라프리마,4.7,강남구,서울특별시 강남구 학동로17길 13 1F,02-511-2555,음식 종류 이탈리안,가격대 4만원 이상,주차 무료주차 가능,['12:00 - 21:00'],"['런치', '110,000원', '디너', '240,000원']",2022-07-20,별로,82,73.0,3.0,6.0
208,208,스시키,4.7,강남구,서울특별시 강남구 선릉로107길 3-4 운경빌딩 1F,02-539-2008,음식 종류 회 / 스시,가격대 4만원 이상,주차 무료주차 가능,['12:00 - 22:00'],"['런치 오마카세', '55,000원', '디너 스시오마카세', '110,000원']",2022-07-04,괜찮다,45,41.0,3.0,1.0
209,209,소이연남마오,4.7,강남구,서울특별시 강남구 도산대로53길 30,02-545-5130,음식 종류 태국 음식,가격대 만원-2만원,주차 발렛,['11:30 - 22:00'],"['소고기쌀국수', '9,900원', '똠양쌀국수', '12,000원', '소이뼈국수', '12,900원', '쏨땀', '12,000원', '소이 뽀삐아', '13,000원']",2022-07-05,맛있다,70,59.0,5.0,6.0
210,210,인딕 슬로우,4.7,강남구,서울특별시 강남구 압구정로4길 13 1F,02-511-0139,음식 종류 인도 음식,가격대 만원-2만원,주차 발렛,['11:30 - 21:30'],"['브런치 탈리', '14,500원', '흑임자피자&가지 피자', '14,900원', '인딕커리', '14,900원', '포도&블루치즈', '16,500원', '오늘의 요거트', '6,500원']",2022-06-19,맛있다,73,60.0,13.0,0.0
211,211,일리조,4.7,강남구,서울특별시 강남구 압구정로42길 23 1F,02-544-1980,음식 종류 이탈리안,가격대 2만원-3만원,주차 유료주차 가능,['11:30 - 22:00'],"['알리오올리오', '16,000원', '봉골레파스타', '17,000원', '포르치니파스타', '20,000원', '라구파스타', '20,000원', '꼬토파스타', '23,000원']",5 일 전,맛있다,46,37.0,5.0,4.0
212,212,삐아프,4.7,강남구,서울특별시 강남구 논현로175길 109 1F,02-545-0317,음식 종류 카페 / 디저트,가격대 만원-2만원,주차 무료주차 가능,['12:30 - 19:30'],"['봉봉 4구 세트', '13,000원', '봉봉 6구 세트', '18,000원', '봉봉 10구 세트', '29,000원', '봉봉 15구 세트', '43,000원']",2022-06-28,맛있다,78,66.0,12.0,0.0
213,213,키겐,4.7,강남구,서울특별시 강남구 언주로150길 51 B1,02-542-5565,음식 종류 기타 일식,가격대 3만원-4만원,주차 주차공간없음,['18:00 - 01:00'],"['특상한우 스키야키코스', '155,000원', '특상한우 스키야키단품', '88,000원', '살치살 스테이크솥밥', '35,000원', '자연산 도미솥밥', '33,000원', '갑오징어 먹물솥밥', '25,000원']",2022-03-11,맛있다,17,16.0,1.0,0.0
214,214,엘픽,4.7,강남구,서울특별시 강남구 도산대로78길 25 에스앤에스빌딩 1F,0507-1489-7006,음식 종류 이탈리안,가격대 2만원-3만원,주차 무료주차 가능,['17:00 - 22:00'],0,2022-05-12,맛있다,8,8.0,0.0,0.0
215,215,이치에,4.6,강남구,서울특별시 강남구 선릉로155길 23-3 2F,070-4273-4087,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 4만원 이상,주차 발렛,['18:00 - 24:00'],"['사시미모리아와세 (2인)', '59,000원', '아마에비', '30,000원', '혼마구로', '33,000원', '호다테후라이', '25,000원', '멘치카츠 (4pcs)', '22,000원']",2022-08-03,맛있다,170,138.0,23.0,9.0
216,216,로바타탄요,4.6,강남구,서울특별시 강남구 압구정로28길 49 109호,02-6339-9667,음식 종류 정통 일식 / 일반 일식,가격대 2만원-3만원,주차 발렛,['17:00 - 22:00'],"['야채모듬5종', '15,000원', '닭 토종닭구이', '33,000원', '안심 스테이크', '35,000원', '시사모', '15,000원', '요세나베', '27,000원']",2 일 전,맛있다,93,75.0,14.0,4.0
217,217,콴안다오,4.6,강남구,서울특별시 강남구 강남대로156길 28-2 1F,02-512-1651,음식 종류 베트남 음식,가격대 만원-2만원,주차 발렛,['11:00 - 22:00'],"['호띠우', '7,500원', '분깐조', '10,500원', '껌징능주', '9,500원', '짜조', '6,000원', '반미', '7,000원']",6 시간 전,맛있다,213,166.0,39.0,8.0
218,218,가담,4.6,강남구,서울특별시 강남구 언주로167길 35 옥산빌딩,02-545-5163,음식 종류 정통 중식 / 일반 중식,가격대 만원-2만원,주차 무료주차 가능,"['월-금: 11:00 - 22:00', '토-일: 10:30 - 21:30']","['유린기 (4인분)', '27,000원', '고추탕수육 (4인분)', '24,000원', '가담정식', '15,000원']",2022-08-06,맛있다,144,113.0,21.0,10.0
219,219,와라야키 쿠이신보,4.6,강남구,서울특별시 강남구 도산대로15길 6 대화빌딩,010-8811-9215,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,주차 발렛,"['월-목: 17:30 - 01:00', '금-토: 17:30 - 02:00']","['참치뱃살 타타키', '49,000원', '참치등살 타타키', '32,000원', '도미 사시미', '13,000원', '한우우설 숯불구이', '15,500원', '야채모듬', '10,000원']",2022-04-05,맛있다,122,101.0,14.0,7.0
220,220,껠끄쇼즈,4.6,강남구,서울특별시 강남구 도곡로70길 5,0,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,영업시간 12:30 - 19:30,"['아메리카노', '4,500원', '티', '6,500원', '얼그레이 커피 타르트', '8,500원', '마카롱 (1ea)', '3,000원', '마카롱 (6ea)', '18,000원']",4 일 전,맛있다,140,127.0,10.0,3.0
221,221,길목,4.6,강남구,서울특별시 강남구 영동대로129길 10,02-518-9710,음식 종류 고기 요리,가격대 만원-2만원,주차 주차공간없음,['16:00 - 23:00'],"['투뿔목살 (200g)', '18,000원', '특오겹살 (200g)', '18,000원', '껍살 (250g)', '20,000원', '된장술밥', '8,000원']",2022-07-27,맛있다,133,111.0,14.0,8.0
222,222,농민백암왕순대,4.6,강남구,서울특별시 강남구 역삼로3길 20-4,02-501-2772,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,주차 주차공간없음,"['월-금: 11:10 - 21:00', '토: 11:10 - 15:30']","['국밥', '8,000원', '수육', '28,000원', '술국', '17,000원', '토종순대', '10,000원']",6 일 전,맛있다,267,235.0,22.0,10.0
223,223,보트르메종,4.6,강남구,서울특별시 강남구 언주로168길 16 청담스퀘어 2F 224호,02-549-3800,음식 종류 프랑스 음식,가격대 4만원 이상,주차 무료주차 가능,['12:00 - 22:00'],"['런치 시그니처코스', '65,000원', '디너 시그니처코스', '150,000원']",2022-07-24,맛있다,51,44.0,6.0,1.0
224,224,페어링룸,4.6,강남구,서울특별시 강남구 도산대로81길 14 1F,010-3100-8861,음식 종류 이탈리안,가격대 3만원-4만원,주차 발렛,['11:00 - 24:00'],"['전복솥밥리조또', '29,000원', '발사믹포모도로', '26,000원', '트러플파케리파스타', '27,000원', '보리굴비녹차리조또', '32,000원', '살치살와규스테이크 (100g)', '32,000원']",2022-07-31,맛있다,92,66.0,21.0,5.0
225,225,롸카두들내쉬빌핫치킨,4.6,강남구,서울특별시 강남구 언주로164길 35-3,02-3447-3456,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,주차 주차공간없음,['11:30 - 21:00'],"['더 클래식', '8,700원', '그랜파', '8,900원', '지펑크', '9,500원', '수프림 C', '8,900원', '갱스타', '7,800원']",4 일 전,맛있다,100,84.0,13.0,3.0
226,226,패티앤베지스,4.6,강남구,서울특별시 강남구 압구정로4길 11 1F,02-541-3443,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원-2만원,주차 발렛,['11:30 - 22:00'],"['클래식 버거', '8,900원', '베이컨치즈 버거', '11,400원', '머쉬룸치즈 버거', '11,900원', '그린살사 버거', '12,900원', '하와이안와사비 버거', '9,900원']",2022-06-28,맛있다,75,60.0,10.0,5.0
227,227,와려,4.6,강남구,서울특별시 강남구 테헤란로98길 28 2F 2호,02-508-2648,음식 종류 정통 일식 / 일반 일식,가격대 4만원 이상,주차 발렛,['12:00 - 22:00'],"['런치 오마카세', '60,000원', '디너 오마카세', '120,000원']",2022-05-14,맛있다,20,18.0,2.0,0.0
228,228,슬로우치즈,4.6,강남구,서울특별시 강남구 삼성로145길 13,02-517-7172,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 20:00'],"['모짜렐라 피오르 디 라테 프로슈토 크루도', '18,000원', '부라타', '23,000원', '아메리카노', '4,500원']",2022-07-19,맛있다,70,57.0,9.0,4.0
229,229,까폼,4.6,강남구,서울특별시 강남구 선릉로153길 18 B1,02-6081-7318,음식 종류 태국 음식,가격대 만원-2만원,주차 발렛,"['월-금: 11:30 - 24:00', '토-일: 14:00 - 24:00']","['똠양꿍', '18,000원', '뿌님팟퐁커리', '25,000원', '랭쎕', '25,000원', '커무양', '15,000원', '카무', '18,000원']",2022-07-09,맛있다,60,46.0,13.0,1.0
230,230,르뱅룰즈,4.6,강남구,서울특별시 강남구 선릉로 660 브라운스톤레전드 105호,02-549-0426,음식 종류 베이커리,가격대 만원 미만,주차 유료주차 가능,['10:00 - 19:30'],"['꼬숑누와 잠봉뵈르', '7,500원', '루꼴라 프로마쥬 잠봉뵈르', '8,500원', '토마토 페퍼 먹물 푸가스', '6,000원', '무화크림바게트', '6,500원', '소금빵', '3,000원']",2022-08-09,맛있다,30,27.0,3.0,0.0
231,231,미우,4.6,강남구,서울특별시 강남구 압구정로 113-22 미성아파트,02-544-7775,음식 종류 고기 요리,가격대 3만원-4만원,주차 유료주차 가능,['12:00 - 21:00'],"['꽃등심 (1인)', '47,000원', '채끝등심 (1인)', '47,000원', '특수부위', '54,000원', '숙성안심', '52,000원', '차돌박이', '25,000원']",3 일 전,맛있다,11,11.0,0.0,0.0
232,232,호시쿠,4.6,강남구,서울특별시 강남구 도산대로62길 13 1F,02-540-1888,음식 종류 회 / 스시,가격대 4만원 이상,주차 발렛,['12:00 - 22:00'],"['런치오마카세', '60,000원', '디너오마카세', '165,000원']",2022-06-24,맛있다,16,14.0,1.0,1.0
233,233,스시렌,4.6,강남구,서울특별시 강남구 선릉로146길 27-10 2F,010-8072-2032,음식 종류 회 / 스시,가격대 4만원 이상,주차 발렛,['12:00 - 22:00'],"['런치 오마카세', '130,000원', '디너 오마카세', '250,000원']",2022-07-12,맛있다,10,10.0,0.0,0.0
234,234,신비갈비살,4.6,강남구,서울특별시 강남구 강남대로158길 15 1F,02-543-5992,음식 종류 고기 요리,가격대 3만원-4만원,주차 주차공간없음,"['월-금: 17:00 - 22:00', '토: 17:00 - 21:30']","['갈비한짝모듬', '110,000원', '갈비반짝모듬', '60,000원', '한우갈비살 (100g)', '19,000원']",2022-06-19,맛있다,26,23.0,3.0,0.0
235,235,고메램,4.6,강남구,서울특별시 강남구 삼성로96길 15 송영빌딩,02-553-7805,음식 종류 스테이크 / 바베큐,가격대 2만원-3만원,주차 유료주차 가능,"['월-금: 11:30 - 23:00', '토-일: 11:30 - 22:00']","['모둠 양갈비', '33,000원', '생 양고기 살치', '26,000원', '생 양고기 등심', '26,000원', '생 숄더랙', '28,000원', '생 티본', '33,000원']",2022-07-25,맛있다,42,37.0,5.0,0.0
236,236,따띠따띠,4.6,강남구,서울특별시 강남구 언주로157길 6 1F,02-6397-1023,음식 종류 퓨전 양식,가격대 3만원-4만원,주차 주차공간없음,['11:30 - 22:00'],"['샤또브리앙 (한우1++ 100g)', '44,000원', '안심 (한우1++ 100g)', '38,000원', '쁘띠텐더 (100g)', '14,500원', '쿨랏 (100g)', '17,500원', '살치살 (100g)', '28,000원']",2022-06-16,맛있다,12,10.0,1.0,1.0
237,237,왕스덕,4.6,강남구,서울특별시 강남구 도산대로 130 하림타워 B1,02-540-8524,음식 종류 정통 중식 / 일반 중식,가격대 3만원-4만원,주차 발렛,"['월-금: 11:00 - 22:00', '토-일: 11:00 - 21:00']","['런치코스 A', '30,000원', '북경오리코스 A', '60,000원', '북경오리코스 B', '80,000원', '북경오리코스 C', '130,000원', '북경오리코스 D', '180,000원']",2022-06-03,괜찮다,21,18.0,2.0,1.0
238,238,돈불리제담,4.6,강남구,서울특별시 강남구 압구정로2길 46 강남상가 1F,02-546-2995,음식 종류 고기 요리,가격대 만원-2만원,주차 유료주차 가능,['11:30 - 22:00'],"['제주고기국수', '8,000원', '고기비빔국수', '8,000원', '흑돼지 돔베구이', '28,000원', '흑돼지 두루치기', '10,000원', '한치무침', '30,000원']",2022-07-26,맛있다,20,20.0,0.0,0.0
239,239,피아마,4.6,강남구,서울특별시 강남구 도산대로70길 9,0507-1307-5434,음식 종류 칵테일 / 와인,가격대 4만원 이상,0,0,0,2022-06-06,맛있다,5,5.0,0.0,0.0
240,240,비야게레로,4.5,강남구,서울특별시 강남구 봉은사로78길 12 101호,02-538-8915,음식 종류 남미 음식,가격대 만원 미만,주차 주차공간없음,['11:30 - 21:30'],"['까르니따 타코', '4,600원', '초리조 타코', '4,400원', '오르차따', '3,300원']",4 일 전,별로,330,249.0,65.0,16.0
241,241,파씨오네,4.5,강남구,서울특별시 강남구 언주로164길 39,02-546-7719,음식 종류 프랑스 음식,가격대 4만원 이상,주차 발렛,['12:00 - 22:30'],"['런치 코스', '55,000원', '디너 코스', '95,000원']",2022-08-10,별로,149,123.0,18.0,8.0
242,242,꼼다비뛰드,4.5,강남구,서울특별시 강남구 강남대로110길 62,070-4101-8456,음식 종류 베이커리,가격대 만원 미만,주차 주차공간없음,"['목: 11:00 - 17:00', '토: 11:00 - 17:00']","['구겔호프', '4,000원', '바브카 카디엄', '4,000원', '스콘', '4,000원', '바스크치즈케이크', '6,000원', '바닐라파운드', '4,200원']",2022-07-19,맛있다,156,141.0,10.0,5.0
243,243,톡톡,4.5,강남구,서울특별시 강남구 학동로97길 41 리유빌딩 3F,02-542-3030,음식 종류 이탈리안,가격대 4만원 이상,주차 발렛,['12:00 - 22:00'],"['런치코스', '75,000원', '주말 런치코스', '90,000원', '디너코스', '150,000원']",2022-07-05,맛있다,168,131.0,25.0,12.0
244,244,진미평양냉면,4.5,강남구,서울특별시 강남구 학동로 305-3,02-515-3469,음식 종류 국수 / 면 요리,가격대 만원-2만원,주차 주차공간없음,['11:00 - 21:30'],"['냉면', '12,000원', '비빔면', '12,000원', '제육', '26,000원', '편육', '28,000원', '불고기 (2인 이상)', '28,000원']",2022-08-10,맛있다,316,259.0,38.0,19.0
245,245,스시코우지,4.5,강남구,서울특별시 강남구 도산대로 318 SB타워 어넥스B동 3F,02-541-6200,음식 종류 회 / 스시,가격대 4만원 이상,주차 발렛,['12:00 - 22:00'],"['런치 스시오마카세 (카운터)', '130,000원', '디너 오마카세 (카운터)', '250,000원', '런치 사시미 오마카세 (카운터)', '160,000원', '런치 스시오마카세 (룸)', '120,000원', '디너 오마카세 (룸)', '200,000원']",2022-08-05,맛있다,91,75.0,11.0,5.0
246,246,봉밀가,4.5,강남구,서울특별시 강남구 선릉로 664,02-546-2305,음식 종류 국수 / 면 요리,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 21:30'],"['평양메밀물국수', '12,000원', '평양메밀비빔국수', '12,000원', '뜨거운돌메밀국수', '11,000원', '뜨거운돌냄비우동', '9,500원', '메밀전', '7,000원']",4 일 전,괜찮다,122,96.0,22.0,4.0
247,247,젠제로,4.5,강남구,서울특별시 강남구 선릉로126길 14 예우빌딩,02-543-1261,음식 종류 카페 / 디저트,가격대 만원 미만,주차 유료주차 가능,['12:00 - 21:30'],"['컵/콘 (1인)', '6,000원', '보냉포장 (소)', '22,000원', '보냉포장 (중)', '30,000원', '보냉포장 (대)', '42,000원', '고메박스', '38,000원']",2022-08-10,맛있다,206,170.0,20.0,16.0
248,248,부타이,4.5,강남구,서울특별시 강남구 테헤란로88길 22 B1,02-544-8422,음식 종류 정통 일식 / 일반 일식,가격대 만원-2만원,주차 주차공간없음,['11:30 - 21:00'],"['에비히레카츠정식', '19,500원', '로스카츠정식', '14,000원', '모리아와세카츠', '28,000원', '키마카레', '10,000원', '마제소바 (기본맛)', '10,000원']",2022-07-08,맛있다,164,115.0,36.0,13.0
